date,signal_type,title,summary_140,vertical,sentiment,source_name,source_url
2024-04-20,news,AI Tutoring Privacy Concerns,Privacy advocates raise concerns about AI tutoring platforms collecting student data without proper consent.,tutoring,risk,EdTech Digest,https://edtechdigest.com/2024/04/20/ai-tutoring-privacy-concerns
2024-04-15,adoption_or_risk_signal,Skills-Based Hiring Growth,Employers report 50% increase in skills-based hiring, driving demand for competency-based credentials.,credit_mobility,positive,HolonIQ,https://www.holoniq.com/2024/04/15/skills-based-hiring
2024-04-10,news,Credly Digital Badge Platform,Credly expands digital credential platform, now supporting 10M+ micro-credentials across 500+ institutions.,credit_mobility,positive,EdSurge,https://www.edsurge.com/news/2024-04-10-credly-digital-badges
2024-04-05,policy,EU AI Act Education Provisions,EU AI Act includes specific provisions for AI use in education, requiring transparency and human oversight.,na,neutral,European Commission,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
2024-04-01,adoption_or_risk_signal,AI Bias in Educational Assessment,Study reveals AI assessment tools show bias against certain demographic groups, raising equity concerns.,tutoring,risk,EdSurge,https://www.edsurge.com/news/2024-04-01/ai-bias-assessment
2024-03-25,news,Coursera AI Career Guidance,Coursera launches AI-powered career guidance platform, helping students choose educational pathways.,advising,positive,HolonIQ,https://www.holoniq.com/2024/03/25/coursera-ai-career-guidance
2024-03-15,adoption_or_risk_signal,Digital Credential Adoption,Community colleges report 300% increase in digital credential issuance, improving job placement rates.,credit_mobility,positive,EdTech Digest,https://edtechdigest.com/2024/03/15/digital-credential-adoption
2024-03-10,policy,US DoE AI Education Initiative,US Department of Education launches $2B initiative to support AI integration in K-12 and higher education.,na,positive,US Department of Education,https://www.ed.gov/ai
2024-03-01,news,Google Classroom AI Features,Google adds AI-powered grading and feedback features to Classroom, used by 200M+ students worldwide.,tutoring,positive,EdTech Digest,https://edtechdigest.com/2024/03/01/google-classroom-ai
2024-02-25,adoption_or_risk_signal,AI Academic Advising Success,University reports 40% improvement in student retention after implementing AI-powered academic advising system.,advising,positive,HolonIQ,https://www.holoniq.com/2024/02/25/ai-advising-success
2024-02-20,policy,OECD Digital Education Policy Framework,OECD publishes framework for digital education policies, including AI integration strategies for member countries.,na,positive,OECD,https://www.oecd.org/education/
2024-02-15,news,Microsoft Copilot for Education Rollout,Microsoft expands Copilot for Education to 50,000 schools, providing AI assistance for teachers and students.,tutoring,positive,TechCrunch,https://techcrunch.com/2024/02/15/microsoft-copilot-education
2024-01-30,adoption_or_risk_signal,ChatGPT Usage in Schools Surges,Survey shows 60% of high school students use ChatGPT for homework, raising concerns about academic integrity.,tutoring,risk,EdSurge,https://www.edsurge.com/news/2024-01-30-chatgpt-school-usage
2024-01-20,news,Khan Academy Launches AI Tutor,Khan Academy introduces AI-powered tutoring system, reaching 100M+ students globally with personalized learning.,tutoring,positive,EdSurge,https://www.edsurge.com/news/2024-01-20-khan-academy-ai-tutor
2024-01-15,policy,UNESCO AI in Education Guidelines,UNESCO releases comprehensive guidelines for AI use in education, emphasizing equity and human-centered approach.,na,positive,UNESCO,https://www.unesco.org/en/education/artificial-intelligence